id,function_name,log_message,created_at
1,monitor_all_changes,Function started,2024-09-04T16:52:37.525401+00:00
2,monitor_all_changes,Function completed,2024-09-04T16:52:37.525401+00:00
3,monitor_all_changes,Function started,2024-09-04T16:54:37.884961+00:00
4,monitor_all_changes,Function completed,2024-09-04T16:54:37.884961+00:00
5,monitor_all_changes,Function started,2024-09-04T17:00:19.274035+00:00
6,monitor_all_changes,GitHub PAT retrieved: No,2024-09-04T17:00:19.274035+00:00
7,monitor_all_changes,Processing table: certifications,2024-09-04T17:00:19.274035+00:00
8,monitor_all_changes,Processing table: producers,2024-09-04T17:00:19.274035+00:00
9,monitor_all_changes,Processing table: rel_producers_categories,2024-09-04T17:00:19.274035+00:00
10,monitor_all_changes,Processing table: producer_categories,2024-09-04T17:00:19.274035+00:00
11,monitor_all_changes,Processing table: rel_producers_certifications,2024-09-04T17:00:19.274035+00:00
12,monitor_all_changes,Processing table: rel_brands_certifications,2024-09-04T17:00:19.274035+00:00
13,monitor_all_changes,Processing table: brands,2024-09-04T17:00:19.274035+00:00
14,monitor_all_changes,Processing table: rel_brands_categories,2024-09-04T17:00:19.274035+00:00
15,monitor_all_changes,Processing table: brand_categories,2024-09-04T17:00:19.274035+00:00
16,monitor_all_changes,Processing table: test_table,2024-09-04T17:00:19.274035+00:00
17,monitor_all_changes,Processing table: function_logs,2024-09-04T17:00:19.274035+00:00
18,monitor_all_changes,Payload constructed,2024-09-04T17:00:19.274035+00:00
19,monitor_all_changes,Attempting to send webhook to GitHub,2024-09-04T17:00:19.274035+00:00
20,monitor_all_changes,"GitHub API Response: {""status"": ""404"", ""message"": ""Not Found"", ""documentation_url"": ""https://docs.github.com/rest/repos/repos#create-a-repository-dispatch-event""}",2024-09-04T17:00:19.274035+00:00
21,monitor_all_changes,Function completed,2024-09-04T17:00:19.274035+00:00
22,monitor_all_changes,Function started,2024-09-04T17:07:48.935053+00:00
23,monitor_all_changes,GitHub PAT retrieved from Vault: No,2024-09-04T17:07:48.935053+00:00
25,monitor_all_changes,Error sending webhook: http_request.content is NULL,2024-09-04T17:07:48.935053+00:00
26,monitor_all_changes,Function completed,2024-09-04T17:07:48.935053+00:00
27,monitor_all_changes,Function started,2024-09-04T17:08:44.73216+00:00
28,monitor_all_changes,GitHub PAT retrieved from Vault: No,2024-09-04T17:08:44.73216+00:00
30,monitor_all_changes,Error sending webhook: http_request.content is NULL,2024-09-04T17:08:44.73216+00:00
31,monitor_all_changes,Function completed,2024-09-04T17:08:44.73216+00:00
32,monitor_all_changes,Function started,2024-09-04T17:15:50.885935+00:00
33,monitor_all_changes,GitHub PAT retrieved from Vault: No,2024-09-04T17:15:50.885935+00:00
35,monitor_all_changes,Error sending webhook: http_request.content is NULL,2024-09-04T17:15:50.885935+00:00
36,monitor_all_changes,Function completed,2024-09-04T17:15:50.885935+00:00
37,monitor_all_changes,Function started,2024-09-04T17:19:06.967493+00:00
38,monitor_all_changes,GitHub PAT retrieved from Vault: No,2024-09-04T17:19:06.967493+00:00
40,monitor_all_changes,Error sending webhook: http_request.content is NULL,2024-09-04T17:19:06.967493+00:00
41,monitor_all_changes,Function completed,2024-09-04T17:19:06.967493+00:00
42,monitor_all_changes,Error: GitHub PAT is NULL. It may not be set in the vault.,2024-09-04T17:24:50.887357+00:00
43,monitor_all_changes,Function started,2024-09-04T18:17:00.446304+00:00
44,monitor_all_changes,GitHub PAT retrieved from Vault: Yes (First 4 chars: ghp_),2024-09-04T18:17:00.446304+00:00
46,monitor_all_changes,Error sending webhook: http_request.content is NULL,2024-09-04T18:17:00.446304+00:00
47,monitor_all_changes,Function completed,2024-09-04T18:17:00.446304+00:00
48,monitor_all_changes,Function started,2024-09-04T19:22:28.50987+00:00
49,monitor_all_changes,GitHub PAT retrieved from Vault: Yes (First 4 chars: ghp_),2024-09-04T19:22:28.50987+00:00
50,monitor_all_changes,Processing table: certifications,2024-09-04T19:22:28.50987+00:00
51,monitor_all_changes,Processing table: producers,2024-09-04T19:22:28.50987+00:00
52,monitor_all_changes,Processing table: rel_producers_categories,2024-09-04T19:22:28.50987+00:00
53,monitor_all_changes,Processing table: producer_categories,2024-09-04T19:22:28.50987+00:00
54,monitor_all_changes,Processing table: rel_producers_certifications,2024-09-04T19:22:28.50987+00:00
55,monitor_all_changes,Processing table: rel_brands_certifications,2024-09-04T19:22:28.50987+00:00
56,monitor_all_changes,Processing table: brands,2024-09-04T19:22:28.50987+00:00
57,monitor_all_changes,Processing table: rel_brands_categories,2024-09-04T19:22:28.50987+00:00
58,monitor_all_changes,Processing table: brand_categories,2024-09-04T19:22:28.50987+00:00
59,monitor_all_changes,Processing table: test_table,2024-09-04T19:22:28.50987+00:00
60,monitor_all_changes,Processing table: function_logs,2024-09-04T19:22:28.50987+00:00
